id,purpose,grade,sub_grade
68585839,debt_consolidation,C,C4
68476734,debt_consolidation,B,B1
68506789,debt_consolidation,B,B3
68506793,debt_consolidation,B,B2
68496036,credit_card,D,D1
68516507,medical,B,B3
68377006,car,A,A5
68436917,home_improvement,C,C2
68416935,debt_consolidation,B,B3
68606528,debt_consolidation,B,B2
68446820,debt_consolidation,B,B5
68356922,other,C,C4
68566702,debt_consolidation,E,E4
68426668,debt_consolidation,E,E1
68008783,debt_consolidation,A,A5
68603265,debt_consolidation,C,C3
68546562,debt_consolidation,B,B2
68387003,debt_consolidation,C,C2
68453388,debt_consolidation,E,E3
68436772,credit_card,B,B3
68356797,debt_consolidation,D,D2
67799534,debt_consolidation,C,C3
68366973,credit_card,C,C4
68376942,debt_consolidation,E,E2
68339735,other,C,C4
67355663,debt_consolidation,C,C4
68407187,debt_consolidation,B,B4
68476511,debt_consolidation,F,F5
68366965,debt_consolidation,F,F1
67267171,medical,B,B1
68406292,debt_consolidation,D,D1
68616867,debt_consolidation,C,C5
68547447,debt_consolidation,C,C3
68547538,home_improvement,D,D3
68516545,debt_consolidation,A,A4
68426681,credit_card,C,C2
68446591,debt_consolidation,B,B5
68596872,credit_card,A,A1
68376953,debt_consolidation,C,C1
68476522,major_purchase,C,C2
68537498,debt_consolidation,A,A4
68496996,debt_consolidation,D,D1
68375899,debt_consolidation,C,C4
68433333,debt_consolidation,D,D4
68376899,debt_consolidation,B,B4
68416736,credit_card,A,A1
68339774,other,D,D1
68376501,debt_consolidation,A,A5
68566760,debt_consolidation,A,A5
68487157,major_purchase,C,C3
68487073,debt_consolidation,B,B1
68132441,debt_consolidation,B,B5
68356747,credit_card,D,D5
68192805,debt_consolidation,D,D4
68426783,debt_consolidation,B,B4
68376848,debt_consolidation,A,A5
68537213,debt_consolidation,B,B2
68393340,major_purchase,A,A1
68486949,credit_card,B,B2
68341730,credit_card,B,B3
66405419,credit_card,C,C5
68407153,debt_consolidation,D,D2
67889874,debt_consolidation,C,C1
68341663,debt_consolidation,C,C3
68547380,debt_consolidation,B,B5
68516174,credit_card,B,B2
68436774,debt_consolidation,E,E5
67327688,debt_consolidation,C,C1
68547369,debt_consolidation,B,B1
68466869,house,D,D3
68496812,other,B,B5
68436907,home_improvement,A,A3
68496925,debt_consolidation,C,C1
68476567,credit_card,A,A1
68547291,debt_consolidation,C,C2
68616851,credit_card,A,A4
68375498,debt_consolidation,D,D1
68466830,debt_consolidation,C,C4
68593616,debt_consolidation,B,B1
68547492,debt_consolidation,D,D1
68547446,credit_card,B,B3
68537494,debt_consolidation,A,A1
68366933,debt_consolidation,B,B1
66574010,debt_consolidation,C,C4
68565380,debt_consolidation,D,D1
68446530,credit_card,B,B5
68375365,credit_card,B,B3
68366859,debt_consolidation,C,C3
68563427,debt_consolidation,C,C4
68607018,home_improvement,B,B5
68485643,credit_card,C,C5
68526838,debt_consolidation,A,A4
68577637,debt_consolidation,A,A4
68537513,other,B,B1
68366850,debt_consolidation,A,A1
68396912,vacation,B,B4
68396542,debt_consolidation,B,B2
68487142,debt_consolidation,B,B5
68566731,credit_card,A,A1
68496845,debt_consolidation,A,A5
68614704,debt_consolidation,D,D5
68340647,other,C,C1
68587491,credit_card,A,A3
68526879,credit_card,A,A1
68407273,major_purchase,B,B2
67415657,debt_consolidation,E,E2
68535544,debt_consolidation,D,D4
68416810,credit_card,B,B2
68394924,other,B,B4
68547122,debt_consolidation,B,B2
68386904,debt_consolidation,D,D2
68526818,credit_card,B,B1
68446558,debt_consolidation,A,A5
68506619,debt_consolidation,C,C1
68496948,debt_consolidation,B,B4
68396786,credit_card,B,B4
68606972,debt_consolidation,D,D5
68596708,credit_card,B,B3
68476642,other,C,C4
68616825,debt_consolidation,B,B2
68526740,credit_card,C,C3
68426716,debt_consolidation,D,D5
68376710,credit_card,C,C5
68587530,other,C,C1
68476592,credit_card,B,B3
68476512,credit_card,A,A3
68537368,debt_consolidation,B,B3
68376880,credit_card,A,A5
68366911,debt_consolidation,C,C4
68547485,debt_consolidation,A,A5
68606926,major_purchase,C,C1
68339758,credit_card,A,A3
68366819,credit_card,D,D1
68386935,credit_card,A,A3
67839460,debt_consolidation,C,C3
68496969,home_improvement,A,A1
68366976,debt_consolidation,A,A3
68547425,debt_consolidation,B,B5
68537517,debt_consolidation,B,B3
68596759,credit_card,C,C1
68396899,debt_consolidation,A,A2
68445368,debt_consolidation,B,B1
68537434,debt_consolidation,B,B5
68426691,other,B,B3
67195202,debt_consolidation,D,D2
68396815,major_purchase,A,A5
68426793,credit_card,A,A4
68486834,credit_card,A,A3
68566787,other,B,B2
68506699,credit_card,D,D3
68102209,debt_consolidation,B,B3
68486386,debt_consolidation,C,C2
68072419,home_improvement,C,C4
68366904,other,B,B5
68566711,credit_card,D,D2
68426707,debt_consolidation,A,A2
68386931,debt_consolidation,A,A5
68595206,debt_consolidation,D,D4
68476510,debt_consolidation,A,A3
68537519,debt_consolidation,C,C2
68616891,credit_card,B,B5
68426620,debt_consolidation,D,D5
68436822,debt_consolidation,B,B4
68387044,debt_consolidation,C,C1
67798609,debt_consolidation,C,C1
68496924,debt_consolidation,D,D4
68537384,debt_consolidation,A,A1
68587508,credit_card,A,A2
68596836,debt_consolidation,C,C1
68416824,debt_consolidation,A,A4
67675195,credit_card,C,C5
68415540,debt_consolidation,B,B3
68547382,debt_consolidation,B,B5
68616919,debt_consolidation,A,A1
68340650,debt_consolidation,B,B2
68406175,debt_consolidation,B,B4
68356901,debt_consolidation,C,C5
68366957,debt_consolidation,B,B2
68466856,debt_consolidation,C,C2
68504230,debt_consolidation,B,B1
68577640,debt_consolidation,D,D1
68537431,home_improvement,C,C2
68387009,debt_consolidation,A,A1
68366912,home_improvement,C,C2
68596832,debt_consolidation,C,C1
68616471,debt_consolidation,D,D5
68606975,debt_consolidation,C,C2
68376378,debt_consolidation,B,B4
68587485,debt_consolidation,D,D3
68366926,home_improvement,A,A2
68577565,debt_consolidation,B,B1
68374806,credit_card,C,C3
68496791,home_improvement,D,D2
68341606,credit_card,C,C2
68366688,credit_card,C,C3
68486982,credit_card,A,A3
68356643,debt_consolidation,C,C2
68577556,debt_consolidation,B,B3
68516540,debt_consolidation,A,A5
68426444,debt_consolidation,D,D1
68416249,debt_consolidation,D,D4
68407065,credit_card,C,C4
68376235,debt_consolidation,C,C3
68446507,credit_card,C,C4
68516556,debt_consolidation,D,D2
68416685,home_improvement,A,A3
68465272,debt_consolidation,E,E2
68446433,major_purchase,E,E5
68406857,debt_consolidation,C,C3
68376738,debt_consolidation,B,B1
68406984,debt_consolidation,C,C5
68586526,debt_consolidation,B,B3
68606831,debt_consolidation,A,A3
68416651,debt_consolidation,C,C3
68052768,credit_card,A,A4
68606890,debt_consolidation,C,C5
68376784,debt_consolidation,D,D3
67675402,debt_consolidation,C,C2
68566571,car,B,B5
68386802,other,B,B1
68466671,debt_consolidation,E,E1
68606857,debt_consolidation,C,C2
68606912,debt_consolidation,D,D2
68526678,debt_consolidation,D,D2
68585614,debt_consolidation,C,C2
66624023,credit_card,B,B1
68356729,credit_card,C,C1
68537150,debt_consolidation,E,E3
68406791,debt_consolidation,B,B2
68534381,debt_consolidation,C,C2
68386814,credit_card,B,B2
67476662,debt_consolidation,B,B5
67918929,debt_consolidation,B,B1
68587465,major_purchase,A,A1
68526718,home_improvement,C,C4
68486915,debt_consolidation,B,B4
68526576,debt_consolidation,C,C1
68615371,debt_consolidation,C,C2
68546420,debt_consolidation,B,B1
66520372,debt_consolidation,D,D5
67466859,credit_card,C,C2
68407083,debt_consolidation,A,A5
68577519,credit_card,A,A2
68616757,other,A,A3
67808313,debt_consolidation,B,B4
68396002,other,G,G2
68577456,debt_consolidation,C,C1
68537123,credit_card,F,F1
68506560,debt_consolidation,A,A1
68416683,debt_consolidation,A,A1
68486957,debt_consolidation,D,D1
68514937,debt_consolidation,D,D3
68547344,debt_consolidation,C,C5
68376788,debt_consolidation,B,B2
68356655,debt_consolidation,A,A1
68506603,debt_consolidation,B,B3
68366599,credit_card,D,D4
68356727,debt_consolidation,B,B4
68536969,credit_card,B,B1
68613885,debt_consolidation,C,C3
68514503,debt_consolidation,C,C2
68496864,debt_consolidation,A,A4
67969431,other,A,A1
68526434,credit_card,B,B4
68052879,debt_consolidation,D,D2
68342980,other,C,C2
68366762,debt_consolidation,C,C3
68445172,debt_consolidation,D,D3
68072793,credit_card,B,B4
68587393,other,C,C2
68476416,debt_consolidation,C,C1
68516502,debt_consolidation,D,D3
68616394,debt_consolidation,C,C3
68586405,debt_consolidation,A,A5
68394820,debt_consolidation,C,C5
68537225,debt_consolidation,B,B4
68355715,debt_consolidation,A,A5
68464432,home_improvement,D,D3
68338713,debt_consolidation,G,G1
68386849,home_improvement,C,C2
68416594,debt_consolidation,B,B2
68356739,credit_card,A,A2
66603901,debt_consolidation,A,A1
66340149,debt_consolidation,C,C3
68496775,debt_consolidation,A,A5
68396654,debt_consolidation,C,C2
68426569,debt_consolidation,D,D1
68577530,credit_card,B,B1
68466644,debt_consolidation,B,B3
68356682,debt_consolidation,C,C2
68547298,debt_consolidation,B,B1
68516537,credit_card,C,C1
68356714,debt_consolidation,B,B2
68386821,debt_consolidation,B,B2
68406994,home_improvement,A,A5
68356724,debt_consolidation,E,E3
66590964,credit_card,B,B1
68436430,debt_consolidation,B,B4
68453284,other,C,C3
68577623,credit_card,C,C2
68446401,debt_consolidation,A,A5
67206595,debt_consolidation,D,D5
68434983,credit_card,B,B5
68366679,credit_card,C,C2
68577614,credit_card,B,B2
68564481,credit_card,B,B1
68416579,credit_card,C,C1
68340648,other,D,D3
68052883,credit_card,B,B2
68465033,debt_consolidation,C,C2
68587366,debt_consolidation,B,B4
66624075,debt_consolidation,B,B4
68445725,credit_card,D,D3
68416619,debt_consolidation,A,A1
68385791,debt_consolidation,E,E4
68386842,credit_card,A,A1
68425549,other,B,B1
66433932,debt_consolidation,C,C3
66220950,debt_consolidation,A,A4
68356738,other,B,B5
68587377,credit_card,B,B1
67705153,debt_consolidation,C,C1
68416560,debt_consolidation,D,D2
68576593,debt_consolidation,B,B1
68340587,credit_card,B,B2
68466641,credit_card,A,A5
68445845,credit_card,B,B5
68596423,car,B,B2
68386830,credit_card,A,A5
68486912,credit_card,C,C3
68338703,debt_consolidation,A,A5
68575726,other,B,B4
68386728,car,B,B1
68340637,debt_consolidation,C,C1
67308558,credit_card,A,A1
68606879,debt_consolidation,C,C3
68537015,debt_consolidation,D,D1
68606893,debt_consolidation,F,F2
68338676,car,B,B4
68587428,credit_card,B,B3
68486909,debt_consolidation,A,A2
68506544,credit_card,A,A4
68386766,debt_consolidation,B,B3
68386716,credit_card,B,B5
68606732,debt_consolidation,C,C4
68356598,debt_consolidation,C,C1
68506468,debt_consolidation,B,B4
68446452,credit_card,B,B1
67307680,debt_consolidation,B,B5
68446430,debt_consolidation,A,A5
68566128,credit_card,C,C5
68426504,debt_consolidation,D,D5
68416679,debt_consolidation,C,C1
68376661,debt_consolidation,A,A5
68537075,major_purchase,B,B2
68338692,home_improvement,C,C5
68052151,debt_consolidation,E,E1
68486965,debt_consolidation,E,E1
68526655,credit_card,A,A2
68366718,moving,B,B2
68577462,debt_consolidation,B,B3
68577627,credit_card,B,B1
68476479,debt_consolidation,D,D1
68576177,debt_consolidation,D,D5
68426438,home_improvement,A,A5
68537228,moving,B,B3
68605120,debt_consolidation,D,D2
68396682,debt_consolidation,D,D4
68566614,debt_consolidation,D,D3
68577273,credit_card,B,B4
68182349,credit_card,D,D2
68426245,credit_card,A,A5
68516370,debt_consolidation,A,A4
68396401,credit_card,C,C5
68504862,debt_consolidation,C,C3
68466525,debt_consolidation,A,A1
68466575,house,C,C1
68525638,small_business,E,E3
68396575,debt_consolidation,B,B1
68536174,debt_consolidation,C,C4
68426258,debt_consolidation,B,B2
68606785,debt_consolidation,A,A5
68577304,credit_card,A,A5
68526511,debt_consolidation,A,A4
67378996,debt_consolidation,C,C4
68526473,car,B,B3
68386504,major_purchase,C,C3
68386590,other,D,D1
68616588,debt_consolidation,A,A5
68366510,credit_card,C,C1
67448298,credit_card,B,B4
68386480,home_improvement,D,D3
68356375,debt_consolidation,A,A1
68616414,debt_consolidation,A,A1
68577378,credit_card,B,B1
68113036,debt_consolidation,B,B4
68406779,debt_consolidation,B,B1
68596496,debt_consolidation,D,D2
67055262,credit_card,D,D2
68536992,debt_consolidation,C,C4
68536187,debt_consolidation,C,C4
68052822,debt_consolidation,D,D2
68426234,house,D,D5
68596402,other,C,C5
68338594,debt_consolidation,F,F2
68577316,debt_consolidation,A,A4
68446226,major_purchase,B,B2
68446231,debt_consolidation,C,C2
68426244,debt_consolidation,A,A1
68386572,debt_consolidation,C,C3
68466410,credit_card,E,E3
66546659,debt_consolidation,B,B4
68606779,debt_consolidation,E,E5
68436350,home_improvement,B,B3
68436402,debt_consolidation,B,B4
68546935,debt_consolidation,A,A1
68616558,credit_card,A,A5
68576171,credit_card,B,B4
68516426,other,F,F2
68376649,debt_consolidation,A,A1
68616573,credit_card,C,C4
68516294,debt_consolidation,F,F3
68038575,credit_card,B,B3
68525951,credit_card,A,A1
68340478,credit_card,C,C3
67798862,debt_consolidation,C,C5
68386707,credit_card,A,A2
68496752,home_improvement,C,C3
68423901,credit_card,B,B3
68536998,debt_consolidation,A,A2
68596373,debt_consolidation,D,D2
68484093,credit_card,E,E1
68008415,credit_card,A,A3
68506125,credit_card,A,A5
68476339,debt_consolidation,B,B4
68476287,other,A,A5
68547199,credit_card,A,A1
68496672,debt_consolidation,C,C3
68587201,debt_consolidation,C,C1
68396350,credit_card,C,C3
68566452,debt_consolidation,A,A2
68426253,debt_consolidation,C,C1
68536503,debt_consolidation,C,C2
68547089,credit_card,A,A1
68396571,debt_consolidation,D,D2
67809049,debt_consolidation,D,D4
68506307,credit_card,C,C4
68546903,credit_card,C,C2
68395243,home_improvement,B,B2
68526248,debt_consolidation,B,B3
68356556,major_purchase,B,B5
68444192,major_purchase,B,B4
68406843,home_improvement,A,A1
68536929,other,A,A5
68587215,debt_consolidation,B,B2
68426240,debt_consolidation,C,C1
68365533,debt_consolidation,F,F3
68446203,debt_consolidation,D,D3
68341583,debt_consolidation,E,E3
68396534,debt_consolidation,D,D4
68386468,debt_consolidation,C,C1
68596499,credit_card,A,A3
68182241,other,E,E2
65916558,debt_consolidation,E,E2
68356558,credit_card,C,C4
68486892,debt_consolidation,A,A1
68476311,debt_consolidation,B,B5
68616519,debt_consolidation,A,A3
68503812,credit_card,A,A3
68446233,debt_consolidation,D,D1
68566495,debt_consolidation,D,D1
68486666,debt_consolidation,C,C3
68606727,debt_consolidation,B,B5
68386692,home_improvement,D,D4
68446133,credit_card,E,E1
68376668,credit_card,B,B4
68446257,credit_card,B,B3
68596384,home_improvement,B,B5
68425480,debt_consolidation,D,D4
68406823,debt_consolidation,C,C2
68587251,debt_consolidation,A,A5
68606615,credit_card,B,B4
66585097,debt_consolidation,C,C4
68566428,debt_consolidation,D,D2
68426259,debt_consolidation,C,C4
68566382,debt_consolidation,E,E3
68340554,debt_consolidation,F,F1
67858498,debt_consolidation,C,C4
68535954,debt_consolidation,B,B3
68386658,credit_card,A,A4
68596392,credit_card,A,A1
68566477,debt_consolidation,C,C1
68366607,debt_consolidation,D,D2
68566410,major_purchase,B,B4
68596525,debt_consolidation,C,C4
68356423,debt_consolidation,B,B2
68363158,home_improvement,C,C3
68396428,credit_card,A,A4
68547079,debt_consolidation,B,B1
68338640,debt_consolidation,C,C1
68536967,car,B,B2
68435694,debt_consolidation,D,D5
68496644,credit_card,A,A2
68536847,debt_consolidation,E,E3
68536927,small_business,B,B5
68546518,credit_card,C,C2
68606692,debt_consolidation,C,C2
68476352,moving,C,C1
68386516,debt_consolidation,C,C4
68526519,vacation,D,D1
68386517,home_improvement,C,C1
68436580,debt_consolidation,D,D1
68426320,debt_consolidation,B,B5
68606272,debt_consolidation,B,B5
68494601,car,A,A4
68445286,debt_consolidation,B,B3
68366171,debt_consolidation,E,E1
68338634,debt_consolidation,C,C4
68526395,debt_consolidation,E,E3
68436531,debt_consolidation,D,D1
68446068,credit_card,B,B4
68396530,credit_card,C,C5
68496665,debt_consolidation,B,B1
68376147,debt_consolidation,B,B4
68526504,debt_consolidation,B,B3
68575042,debt_consolidation,C,C5
68606606,credit_card,B,B3
66505903,debt_consolidation,D,D1
68406948,major_purchase,F,F1
68356482,debt_consolidation,B,B5
68587164,debt_consolidation,E,E3
68376503,credit_card,B,B5
68547026,debt_consolidation,B,B2
68616501,debt_consolidation,D,D5
67378611,other,D,D2
68232772,debt_consolidation,C,C2
68364617,debt_consolidation,A,A5
68132792,debt_consolidation,C,C1
68396564,debt_consolidation,D,D5
67237769,debt_consolidation,C,C1
68495065,debt_consolidation,C,C4
68416470,debt_consolidation,C,C1
68341358,debt_consolidation,A,A3
68416483,credit_card,C,C3
68426305,other,D,D2
68546834,debt_consolidation,C,C3
68516477,major_purchase,A,A1
66220405,credit_card,B,B4
68614208,debt_consolidation,E,E1
68476170,debt_consolidation,E,E4
68386660,credit_card,A,A2
68594018,debt_consolidation,B,B2
68374108,debt_consolidation,B,B3
68506366,debt_consolidation,D,D4
68516442,debt_consolidation,E,E2
68476251,debt_consolidation,A,A1
68616576,car,B,B4
68466390,credit_card,A,A5
68545253,debt_consolidation,C,C4
68586213,debt_consolidation,E,E1
68616531,debt_consolidation,E,E2
68566440,credit_card,B,B2
68426365,debt_consolidation,B,B4
68415164,debt_consolidation,C,C4
68535503,debt_consolidation,C,C2
68486640,debt_consolidation,C,C1
68062856,debt_consolidation,B,B5
68242632,debt_consolidation,D,D2
68506347,credit_card,B,B3
68466436,debt_consolidation,F,F3
68606663,vacation,C,C2
68615300,debt_consolidation,B,B3
67889088,debt_consolidation,B,B2
68436509,debt_consolidation,A,A1
68606744,debt_consolidation,C,C5
68566430,debt_consolidation,B,B2
68426263,credit_card,B,B3
68596155,other,D,D1
67999602,debt_consolidation,C,C5
68406962,home_improvement,C,C1
68436451,credit_card,B,B2
68476224,debt_consolidation,B,B5
68547082,debt_consolidation,C,C4
67268365,debt_consolidation,D,D5
68356386,debt_consolidation,B,B1
68587253,credit_card,A,A1
68436387,debt_consolidation,F,F5
68232437,debt_consolidation,B,B2
68338627,credit_card,A,A2
68577474,debt_consolidation,A,A5
67909152,debt_consolidation,B,B5
68587297,debt_consolidation,B,B1
67605440,debt_consolidation,C,C3
68354914,home_improvement,A,A4
68416372,credit_card,B,B3
68142737,credit_card,A,A1
68486647,debt_consolidation,B,B4
68547031,debt_consolidation,A,A3
68416415,debt_consolidation,B,B1
68486835,credit_card,A,A1
68616377,credit_card,E,E2
68386525,credit_card,B,B3
68606589,debt_consolidation,B,B1
68616366,credit_card,A,A2
67275715,home_improvement,D,D3
68341406,debt_consolidation,B,B2
68396437,credit_card,A,A1
68544948,debt_consolidation,A,A4
66563086,debt_consolidation,B,B4
68616311,credit_card,C,C5
68577345,debt_consolidation,C,C2
68385564,debt_consolidation,C,C2
68496618,credit_card,B,B1
68062737,debt_consolidation,D,D2
68526489,debt_consolidation,D,D1
68426254,credit_card,C,C2
68547044,credit_card,A,A4
68466462,debt_consolidation,C,C3
68416482,credit_card,C,C2
68466464,debt_consolidation,D,D5
66624293,other,A,A5
68386637,debt_consolidation,C,C5
68547073,debt_consolidation,B,B1
68466416,home_improvement,A,A2
68446245,home_improvement,C,C5
68486872,credit_card,B,B2
68386577,debt_consolidation,C,C2
68506309,debt_consolidation,C,C4
68577115,debt_consolidation,B,B3
68406795,debt_consolidation,B,B2
68566384,debt_consolidation,D,D3
67347650,other,C,C1
68595667,debt_consolidation,C,C4
68486660,credit_card,B,B4
68596406,debt_consolidation,A,A1
68587130,credit_card,B,B2
68546971,debt_consolidation,A,A2
67755216,debt_consolidation,D,D3
68496354,debt_consolidation,B,B1
68566111,small_business,E,E2
68212760,debt_consolidation,B,B1
68376320,debt_consolidation,A,A3
68616045,debt_consolidation,A,A2
68436190,other,C,C4
68485231,debt_consolidation,C,C3
68586953,debt_consolidation,C,C1
68396312,debt_consolidation,B,B4
67298976,credit_card,E,E3
68376303,home_improvement,A,A3
68577043,debt_consolidation,B,B3
68466189,credit_card,B,B4
68544404,debt_consolidation,C,C2
67809379,debt_consolidation,E,E4
68616197,debt_consolidation,A,A2
68386416,debt_consolidation,C,C5
68526250,credit_card,A,A1
68496489,credit_card,A,A1
68436340,credit_card,B,B4
68445972,home_improvement,C,C1
68466298,credit_card,C,C1
68577081,home_improvement,C,C2
68356287,debt_consolidation,D,D2
68406733,debt_consolidation,E,E1
68486534,credit_card,C,C1
68485971,debt_consolidation,C,C5
67358467,credit_card,A,A1
68426094,credit_card,C,C2
68586878,home_improvement,D,D3
68566246,debt_consolidation,C,C2
68566149,debt_consolidation,B,B3
68340530,debt_consolidation,B,B4
68366327,credit_card,A,A1
68446030,debt_consolidation,A,A5
68192729,debt_consolidation,C,C5
68546877,credit_card,A,A4
68386356,credit_card,B,B5
68606383,debt_consolidation,B,B2
68476092,debt_consolidation,B,B5
68526124,credit_card,C,C2
68445999,credit_card,C,C1
68486599,home_improvement,A,A2
68506121,credit_card,A,A3
68202804,debt_consolidation,D,D2
68425997,credit_card,A,A2
68596328,home_improvement,B,B1
68546741,debt_consolidation,B,B3
68366309,other,E,E2
68416138,home_improvement,D,D4
68415392,debt_consolidation,E,E3
68496453,other,B,B2
68376196,credit_card,B,B1
68536806,debt_consolidation,D,D3
68062777,credit_card,C,C3
67799895,small_business,B,B3
68446125,debt_consolidation,C,C2
68386395,credit_card,B,B2
68606458,debt_consolidation,A,A1
66096897,home_improvement,B,B2
67890239,credit_card,B,B1
68453653,debt_consolidation,B,B3
68446180,debt_consolidation,D,D3
68516266,debt_consolidation,E,E2
67848475,debt_consolidation,C,C4
68586833,credit_card,D,D1
68406624,debt_consolidation,G,G3
68356089,debt_consolidation,C,C4
68577138,debt_consolidation,B,B4
68577155,credit_card,B,B2
68436237,credit_card,B,B2
68516197,credit_card,A,A4
68506096,debt_consolidation,A,A4
67329305,home_improvement,A,A3
67988731,debt_consolidation,A,A1
68212274,credit_card,B,B2
68340540,debt_consolidation,B,B4
68526208,credit_card,A,A2
68574173,debt_consolidation,E,E2
68584702,credit_card,E,E1
68466335,credit_card,A,A1
68516214,credit_card,A,A1
68523332,credit_card,A,A1
68546827,home_improvement,C,C1
68516324,credit_card,A,A5
68446077,debt_consolidation,B,B2
68586642,home_improvement,A,A1
68526280,credit_card,A,A1
68535736,debt_consolidation,C,C1
68416327,medical,D,D3
68553376,debt_consolidation,C,C2
68366362,debt_consolidation,A,A4
68476214,credit_card,A,A1
68564614,debt_consolidation,C,C5
68446144,debt_consolidation,D,D2
68062754,credit_card,C,C1
67325759,debt_consolidation,D,D2
68525937,debt_consolidation,B,B1
68566108,debt_consolidation,A,A5
67298392,debt_consolidation,C,C1
68496404,debt_consolidation,C,C3
68606485,credit_card,B,B2
68356286,home_improvement,C,C1
66411184,credit_card,D,D4
68416253,debt_consolidation,B,B4
68486602,credit_card,C,C2
68376191,debt_consolidation,D,D3
68466135,home_improvement,A,A1
68496423,credit_card,A,A5
68376383,debt_consolidation,C,C1
68396300,credit_card,B,B3
68616256,credit_card,B,B2
68586963,credit_card,A,A4
68386352,debt_consolidation,E,E3
68425452,credit_card,A,A1
68423841,credit_card,C,C2
68606504,debt_consolidation,B,B2
68356337,other,C,C2
68446017,debt_consolidation,C,C1
68339340,debt_consolidation,B,B5
67849899,debt_consolidation,A,A3
68504948,credit_card,A,A1
68576157,debt_consolidation,D,D1
68546214,home_improvement,B,B5
68595847,debt_consolidation,C,C5
68385418,debt_consolidation,C,C3
68546844,debt_consolidation,B,B4
68526168,credit_card,A,A5
68577192,debt_consolidation,C,C2
68606424,debt_consolidation,A,A3
68366348,debt_consolidation,D,D5
68576962,debt_consolidation,C,C3
68596251,credit_card,A,A5
68586919,major_purchase,A,A1
68366326,debt_consolidation,D,D1
68506242,debt_consolidation,G,G4
68476096,debt_consolidation,B,B3
68546780,debt_consolidation,A,A5
68446215,credit_card,A,A4
68536802,debt_consolidation,C,C5
68506210,debt_consolidation,B,B4
68616285,debt_consolidation,E,E1
68566144,debt_consolidation,C,C5
68476147,debt_consolidation,B,B5
68586984,debt_consolidation,F,F5
68616073,debt_consolidation,C,C1
68546923,debt_consolidation,A,A1
68416151,debt_consolidation,B,B2
68396279,debt_consolidation,B,B2
68526276,debt_consolidation,B,B2
68486598,debt_consolidation,C,C2
