id,emp_length,home_ownership,annual_inc
66583801,8 years,RENT,104000.0
68466922,10+ years,OWN,39000.0
68585839,2 years,RENT,39750.0
68476734,8 years,MORTGAGE,47000.0
68506789,10+ years,MORTGAGE,65000.0
68506793,2 years,RENT,44500.0
68496036,3 years,RENT,70100.0
68516507,4 years,MORTGAGE,100000.0
68377006,10+ years,MORTGAGE,105000.0
68436917,10+ years,OWN,90000.0
68416935,3 years,MORTGAGE,92000.0
68606528,4 years,MORTGAGE,39400.0
68446820,2 years,RENT,33000.0
68356922,2 years,RENT,32000.0
68566702,8 years,MORTGAGE,120000.0
68426668,10+ years,MORTGAGE,108000.0
68008783,2 years,MORTGAGE,60000.0
68603265,3 years,OWN,38700.0
68546562,10+ years,MORTGAGE,75000.0
68387003,< 1 year,RENT,60000.0
68453388,10+ years,RENT,80000.0
68436772,10+ years,MORTGAGE,48000.0
68356797,4 years,MORTGAGE,58800.0
67799534,9 years,MORTGAGE,54000.0
68366973,8 years,RENT,82193.0
68376942,3 years,RENT,73320.0
68339735,< 1 year,RENT,42000.0
67355663,2 years,RENT,83000.0
68407187,< 1 year,OWN,55000.0
68476511,6 years,RENT,68000.0
68366965,10+ years,MORTGAGE,92000.0
67267171,10+ years,RENT,30407.0
68406292,10+ years,MORTGAGE,137000.0
68616867,10+ years,MORTGAGE,80000.0
68547447,< 1 year,MORTGAGE,125000.0
68547538,2 years,MORTGAGE,52000.0
68516545,,MORTGAGE,132000.0
68426681,2 years,RENT,55000.0
68446591,,RENT,16488.0
68596872,1 year,RENT,50000.0
68376953,10+ years,MORTGAGE,78000.0
68476522,10+ years,MORTGAGE,110000.0
68537498,,MORTGAGE,45000.0
68496996,1 year,MORTGAGE,70000.0
68375899,3 years,RENT,40000.0
68433333,10+ years,OWN,15000.0
68376899,5 years,RENT,63000.0
68416736,10+ years,MORTGAGE,49000.0
68339774,10+ years,RENT,28000.0
68376501,2 years,OWN,25000.0
68566760,10+ years,MORTGAGE,49000.0
68487157,10+ years,MORTGAGE,52000.0
68487073,< 1 year,OWN,90000.0
68132441,9 years,MORTGAGE,78000.0
68356747,2 years,MORTGAGE,75000.0
68192805,,MORTGAGE,33130.0
68426783,3 years,RENT,87500.0
68376848,10+ years,MORTGAGE,80000.0
68537213,1 year,RENT,105000.0
68393340,1 year,RENT,40000.0
68486949,8 years,RENT,48000.0
68341730,9 years,MORTGAGE,90247.0
66405419,1 year,MORTGAGE,175000.0
68407153,8 years,MORTGAGE,55000.0
67889874,3 years,RENT,41501.0
68341663,9 years,MORTGAGE,75000.0
68547380,5 years,RENT,60000.0
68516174,10+ years,MORTGAGE,59307.0
68436774,< 1 year,MORTGAGE,55000.0
67327688,10+ years,MORTGAGE,82000.0
68547369,4 years,MORTGAGE,60000.0
68466869,5 years,RENT,56000.0
68496812,1 year,RENT,17000.0
68436907,,MORTGAGE,45000.0
68496925,1 year,RENT,30000.0
68476567,10+ years,MORTGAGE,40000.0
68547291,2 years,MORTGAGE,75181.21
68616851,10+ years,RENT,52000.0
68375498,8 years,MORTGAGE,80000.0
68466830,2 years,MORTGAGE,90000.0
68593616,1 year,MORTGAGE,75000.0
68547492,1 year,RENT,45500.0
68547446,,MORTGAGE,99906.0
68537494,4 years,RENT,120000.0
68366933,8 years,MORTGAGE,72000.0
66574010,6 years,OWN,75000.0
68565380,10+ years,MORTGAGE,70000.0
68446530,< 1 year,RENT,21610.0
68375365,10+ years,MORTGAGE,106284.0
68366859,1 year,RENT,25000.0
68563427,10+ years,MORTGAGE,110000.0
68607018,10+ years,MORTGAGE,105000.0
68485643,2 years,RENT,43000.0
68526838,10+ years,MORTGAGE,57000.0
68577637,< 1 year,RENT,85000.0
68537513,8 years,MORTGAGE,140000.0
68366850,8 years,MORTGAGE,96000.0
68396912,8 years,MORTGAGE,122400.0
68396542,4 years,RENT,94000.0
68487142,3 years,OWN,95000.0
68566731,2 years,OWN,120000.0
68496845,9 years,MORTGAGE,100000.0
68614704,3 years,RENT,37231.0
68340647,7 years,RENT,45000.0
68587491,2 years,MORTGAGE,93000.0
68526879,10+ years,RENT,68000.0
68407273,10+ years,OWN,97000.0
67415657,10+ years,RENT,97000.0
68535544,5 years,MORTGAGE,70000.0
68416810,10+ years,OWN,68000.0
68394924,10+ years,RENT,297000.0
68547122,2 years,MORTGAGE,210000.0
68386904,8 years,RENT,42900.0
68526818,10+ years,MORTGAGE,140000.0
68446558,5 years,RENT,90000.0
68506619,8 years,MORTGAGE,60000.0
68496948,10+ years,MORTGAGE,115000.0
68396786,3 years,OWN,85000.0
68606972,2 years,MORTGAGE,85000.0
68596708,10+ years,RENT,60000.0
68476642,10+ years,RENT,105000.0
68616825,2 years,RENT,130000.0
68526740,7 years,RENT,30160.0
68426716,9 years,MORTGAGE,132500.0
68376710,10+ years,RENT,90000.0
68587530,10+ years,MORTGAGE,180000.0
68476592,2 years,RENT,39500.0
68476512,1 year,MORTGAGE,80000.0
68537368,10+ years,MORTGAGE,92000.0
68376880,10+ years,RENT,76500.0
68366911,10+ years,RENT,100000.0
68547485,3 years,OWN,150000.0
68606926,10+ years,OWN,90000.0
68339758,10+ years,OWN,48000.0
68366819,8 years,RENT,65000.0
68386935,3 years,RENT,54000.0
67839460,5 years,MORTGAGE,81000.0
68496969,2 years,MORTGAGE,150000.0
68366976,5 years,RENT,220000.0
68547425,5 years,MORTGAGE,75000.0
68537517,10+ years,OWN,96000.0
68596759,10+ years,MORTGAGE,32500.0
68396899,10+ years,MORTGAGE,76000.0
68445368,3 years,OWN,40000.0
68537434,6 years,RENT,65000.0
68426691,7 years,RENT,125000.0
67195202,< 1 year,RENT,40000.0
68396815,5 years,OWN,120000.0
68426793,10+ years,RENT,70000.0
68486834,10+ years,OWN,120000.0
68566787,,MORTGAGE,74967.0
68506699,< 1 year,MORTGAGE,13000.0
68102209,4 years,MORTGAGE,85140.0
68486386,10+ years,MORTGAGE,90000.0
68072419,10+ years,RENT,115000.0
68366904,10+ years,RENT,50000.0
68566711,10+ years,RENT,114000.0
68426707,8 years,MORTGAGE,70000.0
68386931,5 years,RENT,70000.0
68595206,7 years,MORTGAGE,180000.0
68476510,5 years,MORTGAGE,115000.0
68537519,8 years,MORTGAGE,92892.0
68616891,3 years,RENT,56457.0
68426620,8 years,MORTGAGE,300000.0
68436822,7 years,MORTGAGE,160000.0
68387044,< 1 year,RENT,50000.0
67798609,7 years,RENT,40000.0
68496924,10+ years,MORTGAGE,55000.0
68537384,10+ years,MORTGAGE,144000.0
68587508,10+ years,MORTGAGE,60000.0
68596836,9 years,RENT,41000.0
68416824,1 year,OWN,30000.0
67675195,2 years,RENT,67000.0
68415540,10+ years,RENT,55000.0
68547382,5 years,MORTGAGE,60000.0
68616919,9 years,OWN,60000.0
68340650,9 years,MORTGAGE,64400.0
68406175,2 years,RENT,55000.0
68356901,10+ years,RENT,110000.0
68366957,2 years,MORTGAGE,70000.0
68466856,2 years,RENT,90000.0
68504230,10+ years,MORTGAGE,72000.0
68577640,< 1 year,MORTGAGE,143000.0
68537431,8 years,MORTGAGE,60000.0
68387009,10+ years,MORTGAGE,60000.0
68366912,7 years,MORTGAGE,60000.0
68596832,10+ years,MORTGAGE,120000.0
68616471,10+ years,RENT,165000.0
68606975,< 1 year,MORTGAGE,110000.0
68376378,2 years,MORTGAGE,110000.0
68587485,10+ years,MORTGAGE,65000.0
68366926,10+ years,MORTGAGE,126500.0
68577565,10+ years,MORTGAGE,98000.0
68374806,8 years,RENT,59000.0
68496791,10+ years,MORTGAGE,135000.0
68341606,< 1 year,RENT,65000.0
68366688,2 years,MORTGAGE,78000.0
68486982,10+ years,MORTGAGE,50000.0
68356643,10+ years,MORTGAGE,65000.0
68577556,10+ years,MORTGAGE,36500.0
68516540,8 years,MORTGAGE,75000.0
68426444,1 year,RENT,41000.0
68416249,3 years,RENT,32760.0
68407065,10+ years,OWN,121000.0
68376235,5 years,MORTGAGE,110000.0
68446507,2 years,OWN,48000.0
68516556,10+ years,RENT,60000.0
68416685,10+ years,MORTGAGE,127000.0
68465272,10+ years,RENT,115000.0
68446433,10+ years,RENT,47000.0
68406857,3 years,RENT,22000.0
68376738,,OWN,25000.0
68406984,2 years,MORTGAGE,92500.0
68586526,10+ years,RENT,55000.0
68606831,1 year,MORTGAGE,117000.0
68416651,2 years,MORTGAGE,123000.0
68052768,< 1 year,MORTGAGE,70000.0
68606890,5 years,RENT,48000.0
68376784,10+ years,MORTGAGE,120000.0
67675402,10+ years,MORTGAGE,50000.0
68566571,1 year,MORTGAGE,97000.0
68386802,5 years,MORTGAGE,92250.0
68466671,10+ years,MORTGAGE,68000.0
68606857,10+ years,MORTGAGE,154000.0
68606912,2 years,MORTGAGE,30100.0
68526678,10+ years,RENT,35300.0
68585614,4 years,RENT,98000.0
66624023,,MORTGAGE,58000.0
68356729,8 years,MORTGAGE,40000.0
68537150,< 1 year,MORTGAGE,80000.0
68406791,< 1 year,MORTGAGE,85000.0
68534381,10+ years,OWN,65000.0
68386814,10+ years,RENT,85000.0
67476662,1 year,RENT,22000.0
67918929,8 years,MORTGAGE,85400.0
68587465,7 years,MORTGAGE,150000.0
68526718,6 years,MORTGAGE,43700.0
68486915,7 years,RENT,76497.0
68526576,10+ years,MORTGAGE,67000.0
68615371,10+ years,MORTGAGE,91000.0
68546420,10+ years,MORTGAGE,70000.0
66520372,10+ years,MORTGAGE,95000.0
67466859,10+ years,MORTGAGE,65000.0
68407083,10+ years,MORTGAGE,50000.0
68577519,4 years,RENT,84000.0
68616757,10+ years,MORTGAGE,60000.0
67808313,3 years,MORTGAGE,135000.0
68396002,1 year,MORTGAGE,115000.0
68577456,10+ years,RENT,37380.0
68537123,10+ years,RENT,75000.0
68506560,5 years,MORTGAGE,72000.0
68416683,10+ years,MORTGAGE,75000.0
68486957,4 years,RENT,128000.0
68514937,3 years,RENT,22000.0
68547344,5 years,OWN,75000.0
68376788,2 years,RENT,95750.0
68356655,8 years,MORTGAGE,130000.0
68506603,< 1 year,MORTGAGE,35179.0
68366599,3 years,RENT,160000.0
68356727,10+ years,MORTGAGE,160000.0
68536969,< 1 year,MORTGAGE,60000.0
68613885,1 year,MORTGAGE,40000.0
68514503,2 years,RENT,80000.0
68496864,3 years,MORTGAGE,83000.0
67969431,3 years,MORTGAGE,72500.0
68526434,10+ years,OWN,46000.0
68052879,1 year,RENT,83000.0
68342980,3 years,RENT,43500.0
68366762,3 years,RENT,26000.0
68445172,< 1 year,MORTGAGE,98000.0
68072793,10+ years,MORTGAGE,140000.0
68587393,10+ years,OWN,55000.0
68476416,2 years,OWN,23200.0
68516502,4 years,RENT,70000.0
68616394,10+ years,MORTGAGE,150000.0
68586405,5 years,MORTGAGE,134000.0
68394820,5 years,MORTGAGE,30000.0
68537225,10+ years,MORTGAGE,125000.0
68355715,< 1 year,MORTGAGE,50000.0
68464432,10+ years,MORTGAGE,67000.0
68338713,< 1 year,MORTGAGE,56600.0
68386849,5 years,MORTGAGE,130000.0
68416594,7 years,MORTGAGE,52000.0
68356739,3 years,OWN,35037.0
66603901,< 1 year,MORTGAGE,50000.0
66340149,10+ years,RENT,140000.0
68496775,4 years,MORTGAGE,165000.0
68396654,10+ years,MORTGAGE,60000.0
68426569,< 1 year,RENT,84468.0
68577530,< 1 year,RENT,55000.0
68466644,6 years,RENT,40000.0
68356682,10+ years,OWN,50000.0
68547298,10+ years,MORTGAGE,175000.0
68516537,10+ years,MORTGAGE,156000.0
68356714,3 years,RENT,100000.0
68386821,10+ years,RENT,66000.0
68406994,5 years,OWN,66500.0
68356724,1 year,MORTGAGE,74000.0
66590964,3 years,MORTGAGE,48000.0
68436430,< 1 year,MORTGAGE,100000.0
68453284,2 years,MORTGAGE,150000.0
68577623,< 1 year,MORTGAGE,113000.0
68446401,< 1 year,MORTGAGE,81120.0
67206595,,MORTGAGE,54744.0
68434983,< 1 year,RENT,80000.0
68366679,10+ years,RENT,33000.0
68577614,2 years,OWN,72000.0
68564481,10+ years,RENT,70000.0
68416579,,RENT,14688.0
68340648,10+ years,MORTGAGE,50000.0
68052883,2 years,RENT,48112.0
68465033,4 years,MORTGAGE,40000.0
68587366,10+ years,OWN,75000.0
66624075,< 1 year,MORTGAGE,57000.0
68445725,10+ years,RENT,34000.0
68416619,10+ years,RENT,43000.0
68385791,10+ years,RENT,84000.0
68386842,3 years,OWN,81000.0
68425549,10+ years,MORTGAGE,168400.0
66433932,3 years,MORTGAGE,34000.0
66220950,< 1 year,MORTGAGE,62000.0
68356738,10+ years,MORTGAGE,72000.0
68587377,10+ years,RENT,115000.0
67705153,2 years,RENT,35000.0
68416560,1 year,MORTGAGE,55000.0
68576593,2 years,MORTGAGE,60000.0
68340587,10+ years,MORTGAGE,105000.0
68466641,8 years,MORTGAGE,102000.0
68445845,10+ years,RENT,33000.0
68596423,10+ years,RENT,48000.0
68386830,2 years,RENT,70000.0
68486912,3 years,RENT,80000.0
68338703,10+ years,MORTGAGE,95000.0
68575726,10+ years,OWN,56000.0
68386728,9 years,MORTGAGE,96000.0
68340637,1 year,MORTGAGE,65000.0
67308558,3 years,MORTGAGE,120000.0
68606879,10+ years,OWN,75600.0
68537015,3 years,MORTGAGE,53867.0
68606893,10+ years,RENT,50000.0
68338676,10+ years,MORTGAGE,66000.0
68587428,10+ years,MORTGAGE,84000.0
68486909,10+ years,OWN,55000.0
68506544,10+ years,MORTGAGE,100000.0
68386766,10+ years,MORTGAGE,103000.0
68386716,10+ years,MORTGAGE,107000.0
68606732,10+ years,OWN,69998.0
68356598,< 1 year,MORTGAGE,60000.0
68506468,4 years,MORTGAGE,81000.0
68446452,3 years,RENT,35000.0
67307680,10+ years,MORTGAGE,100000.0
68446430,3 years,MORTGAGE,77000.0
68566128,10+ years,RENT,70000.0
68426504,10+ years,MORTGAGE,61000.0
68416679,10+ years,MORTGAGE,60000.0
68376661,10+ years,MORTGAGE,63800.0
68537075,2 years,RENT,52000.0
68338692,2 years,RENT,42240.0
68052151,5 years,MORTGAGE,82000.0
68486965,< 1 year,MORTGAGE,70000.0
68526655,5 years,OWN,120000.0
68366718,5 years,RENT,70000.0
68577462,< 1 year,MORTGAGE,100000.0
68577627,10+ years,OWN,40000.0
68476479,10+ years,RENT,56000.0
68576177,10+ years,RENT,145000.0
68426438,1 year,MORTGAGE,160000.0
68537228,10+ years,RENT,205000.0
68605120,< 1 year,MORTGAGE,65000.0
68396682,10+ years,MORTGAGE,105000.0
68566614,6 years,RENT,54000.0
68577273,10+ years,OWN,82000.0
68182349,5 years,MORTGAGE,139000.0
68426245,1 year,OWN,60000.0
68516370,< 1 year,MORTGAGE,55500.0
68396401,2 years,RENT,53040.0
68504862,10+ years,MORTGAGE,75000.0
68466525,,MORTGAGE,75000.0
68466575,4 years,MORTGAGE,155000.0
68525638,10+ years,MORTGAGE,80000.0
68396575,,RENT,77700.0
68536174,4 years,MORTGAGE,88000.0
68426258,4 years,MORTGAGE,76008.0
68606785,10+ years,MORTGAGE,71000.0
68577304,< 1 year,RENT,42500.0
68526511,,OWN,33000.0
67378996,5 years,MORTGAGE,52000.0
68526473,1 year,MORTGAGE,45000.0
68386504,3 years,OWN,111000.0
68386590,3 years,RENT,70000.0
68616588,2 years,RENT,54000.0
68366510,10+ years,MORTGAGE,76000.0
67448298,,MORTGAGE,55000.0
68386480,< 1 year,MORTGAGE,80000.0
68356375,< 1 year,MORTGAGE,106000.0
68616414,6 years,MORTGAGE,76000.0
68577378,4 years,OWN,35000.0
68113036,10+ years,MORTGAGE,155000.0
68406779,5 years,MORTGAGE,92000.0
68596496,2 years,RENT,40000.0
67055262,10+ years,MORTGAGE,105000.0
68536992,10+ years,MORTGAGE,210000.0
68536187,< 1 year,RENT,52000.0
68052822,,RENT,19000.0
68426234,1 year,RENT,54000.0
68596402,10+ years,OWN,120000.0
68338594,6 years,MORTGAGE,43435.0
68577316,10+ years,MORTGAGE,106000.0
68446226,< 1 year,RENT,65000.0
68446231,< 1 year,RENT,47000.0
68426244,10+ years,MORTGAGE,135000.0
68386572,6 years,RENT,110000.0
68466410,9 years,MORTGAGE,69201.0
66546659,5 years,RENT,29500.0
68606779,< 1 year,MORTGAGE,86000.0
68436350,3 years,OWN,125000.0
68436402,2 years,MORTGAGE,85000.0
68546935,4 years,OWN,45000.0
68616558,2 years,MORTGAGE,112000.0
68576171,7 years,RENT,105000.0
68516426,9 years,OWN,31200.0
68376649,8 years,RENT,72000.0
68616573,5 years,MORTGAGE,34000.0
68516294,10+ years,MORTGAGE,55702.0
68038575,4 years,MORTGAGE,175000.0
68525951,2 years,OWN,26000.0
68340478,1 year,MORTGAGE,96000.0
67798862,3 years,RENT,96000.0
68386707,6 years,MORTGAGE,124400.0
68496752,,OWN,50000.0
68423901,10+ years,MORTGAGE,130000.0
68536998,8 years,OWN,52600.0
68596373,10+ years,MORTGAGE,118000.0
68484093,,MORTGAGE,28948.92
68008415,6 years,MORTGAGE,100200.0
68506125,10+ years,MORTGAGE,90000.0
68476339,3 years,RENT,38000.0
68476287,2 years,MORTGAGE,60000.0
68547199,2 years,MORTGAGE,82500.0
68496672,2 years,MORTGAGE,75000.0
68587201,10+ years,RENT,130000.0
68396350,3 years,MORTGAGE,64000.0
68566452,10+ years,MORTGAGE,105000.0
68426253,3 years,RENT,45000.0
68536503,9 years,RENT,84000.0
68547089,3 years,MORTGAGE,205200.0
68396571,6 years,MORTGAGE,62000.0
67809049,4 years,MORTGAGE,65000.0
68506307,9 years,RENT,62000.0
68546903,10+ years,RENT,73000.0
68395243,2 years,MORTGAGE,35000.0
68526248,2 years,MORTGAGE,47500.0
68356556,10+ years,RENT,86000.0
68444192,5 years,MORTGAGE,65000.0
68406843,10+ years,MORTGAGE,300000.0
68536929,10+ years,MORTGAGE,250000.0
68587215,< 1 year,MORTGAGE,110000.0
68426240,,MORTGAGE,22000.0
68365533,10+ years,MORTGAGE,72000.0
68446203,10+ years,MORTGAGE,120000.0
68341583,5 years,RENT,96200.0
68396534,1 year,RENT,28832.0
68386468,5 years,OWN,35000.0
68596499,10+ years,MORTGAGE,120000.0
68182241,1 year,MORTGAGE,150000.0
65916558,< 1 year,MORTGAGE,110000.0
68356558,6 years,MORTGAGE,55000.0
68486892,2 years,MORTGAGE,187000.0
68476311,7 years,MORTGAGE,116300.0
68616519,3 years,MORTGAGE,120000.0
68503812,1 year,RENT,73000.0
68446233,10+ years,MORTGAGE,120000.0
68566495,7 years,RENT,48000.0
68486666,1 year,RENT,53000.0
68606727,10+ years,RENT,110000.0
68386692,3 years,MORTGAGE,34000.0
68446133,< 1 year,RENT,60000.0
68376668,10+ years,MORTGAGE,70000.0
68446257,3 years,OWN,31200.0
68596384,2 years,MORTGAGE,85000.0
68425480,2 years,RENT,45500.0
68406823,5 years,RENT,45000.0
68587251,10+ years,MORTGAGE,67000.0
68606615,7 years,RENT,85005.0
66585097,2 years,MORTGAGE,80000.0
68566428,4 years,MORTGAGE,100000.0
68426259,10+ years,OWN,60000.0
68566382,7 years,RENT,50000.0
68340554,8 years,RENT,93000.0
67858498,3 years,RENT,50000.0
68535954,4 years,RENT,52500.0
68386658,3 years,MORTGAGE,130000.0
68596392,5 years,MORTGAGE,98000.0
68566477,10+ years,MORTGAGE,67894.0
68366607,8 years,RENT,50000.0
68566410,10+ years,OWN,55000.0
68596525,10+ years,MORTGAGE,115000.0
68356423,10+ years,RENT,45000.0
68363158,10+ years,MORTGAGE,70000.0
68396428,10+ years,MORTGAGE,90000.0
68547079,3 years,MORTGAGE,93000.0
68338640,7 years,RENT,25000.0
68536967,< 1 year,MORTGAGE,110000.0
68435694,10+ years,MORTGAGE,45000.0
68496644,10+ years,MORTGAGE,106000.0
68536847,5 years,MORTGAGE,170000.0
68536927,2 years,MORTGAGE,105000.0
68546518,1 year,MORTGAGE,240000.0
68606692,< 1 year,RENT,89000.0
68476352,8 years,RENT,60000.0
68386516,3 years,RENT,65000.0
68526519,2 years,MORTGAGE,101000.0
68386517,< 1 year,MORTGAGE,50400.0
68436580,5 years,MORTGAGE,52000.0
68426320,1 year,RENT,185000.0
68606272,3 years,RENT,25200.0
68494601,10+ years,RENT,107000.0
68445286,1 year,RENT,46000.0
68366171,10+ years,OWN,113000.0
68338634,,MORTGAGE,50000.0
68526395,< 1 year,RENT,76000.0
68436531,8 years,MORTGAGE,105000.0
68446068,10+ years,RENT,77000.0
68396530,10+ years,MORTGAGE,73000.0
68496665,10+ years,MORTGAGE,125000.0
68376147,3 years,MORTGAGE,46000.0
68526504,3 years,RENT,95000.0
68575042,10+ years,MORTGAGE,110000.0
68606606,10+ years,OWN,173000.0
66505903,< 1 year,OWN,72219.0
68406948,,OWN,28600.0
68356482,2 years,MORTGAGE,80000.0
68587164,1 year,MORTGAGE,80000.0
68376503,10+ years,MORTGAGE,55000.0
68547026,2 years,MORTGAGE,105000.0
68616501,10+ years,MORTGAGE,100000.0
67378611,3 years,RENT,51000.0
68232772,10+ years,RENT,65000.0
68364617,10+ years,MORTGAGE,93000.0
68132792,10+ years,MORTGAGE,43000.0
68396564,8 years,RENT,137000.0
67237769,5 years,MORTGAGE,63000.0
68495065,< 1 year,MORTGAGE,55000.0
68416470,2 years,MORTGAGE,175000.0
68341358,10+ years,MORTGAGE,85000.0
68416483,5 years,MORTGAGE,106000.0
68426305,,MORTGAGE,124596.0
68546834,1 year,MORTGAGE,60000.0
68516477,2 years,RENT,450000.0
66220405,10+ years,RENT,89000.0
68614208,5 years,MORTGAGE,104500.0
68476170,5 years,MORTGAGE,35000.0
68386660,3 years,MORTGAGE,108000.0
68594018,10+ years,MORTGAGE,60000.0
68374108,5 years,RENT,43000.0
68506366,< 1 year,RENT,134000.0
68516442,10+ years,MORTGAGE,123000.0
68476251,< 1 year,MORTGAGE,118000.0
68616576,1 year,OWN,38000.0
68466390,7 years,OWN,38000.0
68545253,6 years,RENT,85000.0
68586213,1 year,RENT,29524.32
68616531,4 years,MORTGAGE,240000.0
68566440,2 years,OWN,110000.0
68426365,10+ years,MORTGAGE,34000.0
68415164,10+ years,MORTGAGE,65000.0
68535503,10+ years,MORTGAGE,186000.0
68486640,7 years,MORTGAGE,101000.0
68062856,9 years,RENT,90000.0
68242632,10+ years,MORTGAGE,27500.0
68506347,10+ years,OWN,45000.0
68466436,< 1 year,MORTGAGE,117000.0
68606663,10+ years,RENT,65000.0
68615300,10+ years,MORTGAGE,91500.0
67889088,8 years,MORTGAGE,150000.0
68436509,4 years,MORTGAGE,85000.0
68606744,5 years,OWN,33500.0
68566430,6 years,RENT,53000.0
68426263,10+ years,RENT,72701.0
68596155,6 years,MORTGAGE,150000.0
67999602,,MORTGAGE,37534.44
68406962,9 years,MORTGAGE,97666.07
68436451,8 years,MORTGAGE,70000.0
68476224,10+ years,MORTGAGE,61983.0
68547082,3 years,OWN,63000.0
67268365,10+ years,OWN,160000.0
68356386,10+ years,OWN,58000.0
68587253,10+ years,RENT,139000.0
68436387,10+ years,OWN,55000.0
68232437,10+ years,MORTGAGE,53000.0
68338627,2 years,MORTGAGE,62000.0
68577474,6 years,RENT,29000.0
67909152,7 years,OWN,65000.0
68587297,1 year,RENT,75000.0
67605440,10+ years,RENT,50000.0
68354914,10+ years,RENT,70000.0
68416372,,MORTGAGE,24000.0
68142737,4 years,MORTGAGE,135000.0
68486647,10+ years,MORTGAGE,75000.0
68547031,1 year,MORTGAGE,120000.0
68416415,10+ years,MORTGAGE,54000.0
68486835,9 years,MORTGAGE,75000.0
68616377,10+ years,MORTGAGE,116500.0
68386525,10+ years,OWN,92000.0
68606589,3 years,RENT,150000.0
68616366,3 years,MORTGAGE,73000.0
67275715,2 years,MORTGAGE,58000.0
